institution_name,id,url,institution_code_number,institution_type,beginning_of_activity,state,address,post_code,place,headquarters_name,headquarters_address,post_code,city,country,subscribed_capital,paid_up_capital,related_decisions,published_accounts
"STANDARD BANK PLC",8629,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8629",9121,"Free Provision of Services by EU Credit Institutions",1993-10-22,"Active",,,,,,,,"Reino Unido",,,,
"PME INVESTIMENTOS-SOCIEDADE DE INVESTIMENTO, SA",9595,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9595",942,"Investment Companies",1998-12-22,"Active","RUA PEDRO HOMEM DE MELO, Nº. 55, 3º. PISO, S/309","4150-599 PORTO","PORTO",,,"4150-599 PORTO",,,27500000.00,27500000.00,"http://www.bportugal.pt/pt-PT/Supervisao/Decisoes/Paginas/Decisoes.aspx?sInpT1=PME+INVESTIMENTOS-SOCIEDADE+DE+INVESTIMENTO%2c+SA","http://www.bportugal.pt/pt-PT/Supervisao/Paginas/Contasdasinstituicoes.aspx?sInpT1=PME+INVESTIMENTOS-SOCIEDADE+DE+INVESTIMENTO%2c+SA"
"ZAK MONEY EXCHANGE LTD",9994,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9994",8943,"Free Provision of Services by EU Payment Institutions",2013-11-27,"Active",,,,,,,,,,,"http://www.bportugal.pt/pt-PT/Supervisao/Decisoes/Paginas/Decisoes.aspx?sInpT1=ZAK+MONEY+EXCHANGE+LTD","http://www.bportugal.pt/pt-PT/Supervisao/Paginas/Contasdasinstituicoes.aspx?sInpT1=ZAK+MONEY+EXCHANGE+LTD"
"PAY2GLOBAL LIMITED",9288,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9288",8867,"Free Provision of Services by EU Payment Institutions",2012-03-19,"Active",,,,,,,,"Reino Unido",,,,
"COMMERZBANK INTERNATIONAL SA",9007,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9007",9480,"Free Provision of Services by EU Credit Institutions",2008-01-23,"Active",,,,,,,,"Luxemburgo",,,,
"BNP PARIBAS LEASE GROUP, SA",8483,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8483",238,"Branches of Credit Institutions with Head Office in the EU",2002-01-02,"Active","RUA GALILEU GALILEI, TORRE OCIDENTE, Nº2, PISO 7, FRAÇÃO B","92800","LISBOA","BNP PARIBAS LEASE GROUP, SA","46-52, RUE ARAGO","92800","PUTEAUX","França",,,"http://www.bportugal.pt/pt-PT/Supervisao/Decisoes/Paginas/Decisoes.aspx?sInpT1=BNP+PARIBAS+LEASE+GROUP%2c+SA","http://www.bportugal.pt/pt-PT/Supervisao/Paginas/Contasdasinstituicoes.aspx?sInpT1=BNP+PARIBAS+LEASE+GROUP%2c+SA"
"KALIXA PAY LIMITED",9020,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9020",7616,"Free Provision of Services by EU Electronic Money Institutions",2013-04-26,"Active",,,,,,,,"Reino Unido",,,,
"LLOYDS BANK (GIBRALTAR) LIMITED",9028,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9028",9501,"Free Provision of Services by EU Credit Institutions",2008-06-20,"Active",,,,,,,,"Reino Unido",,,,
"REGENT FOREIGN EXCHANGE LIMITED",9259,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9259",8850,"Free Provision of Services by EU Payment Institutions",2011-11-29,"Active",,,,,,,,"Reino Unido",,,,
"BRAZILIAN LINK LIMITED",9912,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9912",8899,"Free Provision of Services by EU Payment Institutions",,"Active",,,,,,,,"Reino Unido",,,,
